Name,Rank,Category,Followers,Audience Country,Authentic Engagement,Engagement Avg.,Engagement Rate,Fake Score,Trust Score,Anomaly
cristiano,1,Sports with a ball,462900000.0,India,5500000.0,6600000.0,1.1881615899762368,0,100,-1
leomessi,2,Sports with a ballFamily,347200000.0,Argentina,3600000.0,4800000.0,1.0368663594470047,0,100,-1
kendalljenner,3,ModelingFashion,247600000.0,United States,3000000.0,4900000.0,1.2116316639741518,0,100,-1
arianagrande,4,Music,321400000.0,United States,2400000.0,3400000.0,0.7467330429371499,50,50,-1
zendaya,5,Cinema & Actors/actressesFashion,147000000.0,United States,4300000.0,5800000.0,2.925170068027211,0,100,-1
kimkardashian,6,FashionBeauty,323600000.0,United States,1700000.0,2500000.0,0.5253399258343634,50,50,-1
taylorswift,7,Music,218200000.0,Brazil,2400000.0,3200000.0,1.0999083409715857,0,100,-1
kyliejenner,8,FashionModelingBeauty,357000000.0,United States,1200000.0,1900000.0,0.33613445378151263,50,50,-1
selenagomez,9,MusicLifestyle,334900000.0,United States,1400000.0,1900000.0,0.41803523439832785,50,50,-1
thv,10,Unknown,46300000.0,United States,13300000.0,13300000.0,28.725701943844495,0,100,-1
lalalalisa_m,11,Music,79900000.0,Indonesia,6300000.0,7300000.0,7.88485607008761,0,100,-1
jennierubyjane,12,Music,68200000.0,Indonesia,7000000.0,8300000.000000001,10.263929618768328,0,100,-1
virat.kohli,13,Sports with a ball,206900000.0,India,2100000.0,2400000.0,1.0149830836152731,0,100,-1
tomholland2013,14,Cinema & Actors/actresses,67600000.0,United States,5700000.0,7000000.0,8.431952662721894,0,100,-1
j.m,15,Unknown,38100000.0,Unknown,11800000.0,11800000.0,30.971128608923888,0,100,-1
agustd,16,Lifestyle,36500000.0,Unknown,10400000.0,10400000.0,28.493150684931507,0,100,-1
jin,17,Unknown,37400000.0,United States,9900000.0,9900000.0,26.47058823529412,0,100,-1
beyonce,18,MusicFashion,267399999.99999997,United States,949900.0,1300000.0,0.3552356020942409,80,20,-1
khloekardashian,19,Clothing & OutfitsLifestyle,260399999.99999997,United States,1100000.0,1400000.0,0.42242703533026116,50,50,-1
sooyaaa__,20,MusicBeauty,62100000.0,Indonesia,4900000.0,5600000.0,7.890499194847021,0,100,-1
billieeilish,21,Music,104300000.0,United States,2400000.0,3100000.0,2.3010546500479387,0,100,-1
neymarjr,22,Sports with a ball,176200000.0,Brazil,1300000.0,1800000.0,0.7377979568671964,50,50,1
khaby00,23,Sports with a ball,78600000.0,India,2800000.0,3900000.0,3.5623409669211195,0,100,-1
justinbieber,24,Music,245900000.0,India,798500.0,1200000.0,0.3247254981699878,80,20,-1
roses_are_rosie,25,Music,61000000.0,Indonesia,4000000.0,4600000.0,6.557377049180328,0,100,-1
uarmyhope,26,Art/ArtistsCinema & Actors/actressesMusic,37400000.0,South Korea,6900000.0,6900000.0,18.449197860962567,0,100,-1
badbunnypr,27,Music,41400000.0,United States,3900000.0,6000000.0,9.420289855072465,0,100,-1
nickiminaj,28,Music,197800000.0,United States,744200.0,1200000.0,0.3762386248736097,80,20,1
instagram,29,Photography,528400000.0,India,339600.0,434300.0,0.06426949280847842,80,20,-1
jungkook.97,30,Music,43000000.0,Unknown,5200000.0,5200000.0,12.093023255813954,0,100,-1
bts.bighitofficial,31,Music,66000000.0,Indonesia,3000000.0,3300000.0,4.545454545454546,0,100,-1
iamcardib,32,MusicFashion,137300000.0,United States,1100000.0,1500000.0,0.8011653313911145,50,50,1
kourtneykardash,33,Lifestyle,189000000.0,United States,739800.0,1100000.0,0.3914285714285714,80,20,1
karolg,34,Music,54500000.0,Mexico,3000000.0,3700000.0,5.5045871559633035,0,100,-1
zayn,35,Music,46200000.0,India,2700000.0,4300000.0,5.844155844155844,0,100,-1
rkive,36,Lifestyle,36000000.0,Unknown,5400000.0,5400000.0,15.0,0,100,-1
milliebobbybrown,37,Cinema & Actors/actresses,53200000.0,Brazil,2800000.0,3500000.0,5.263157894736842,0,100,-1
gigihadid,38,ModelingLifestyle,74900000.0,United States,1600000.0,2400000.0,2.1361815754339117,0,100,1
jlo,39,MusicCinema & Actors/actresses,217500000.0,United States,585700.0,743200.0,0.2692873563218391,80,20,1
kingjames,40,Sports with a ball,127400000.0,United States,741700.0,1300000.0,0.582182103610675,80,20,1
therock,41,Cinema & Actors/actressesFitness & Gym,327300000.0,India,373200.0,479800.0,0.11402383134738771,80,20,-1
adele,42,Music,50600000.0,United States,2200000.0,3100000.0,4.3478260869565215,0,100,1
